TOTAL;SECRETARIA;AGRUPAMENTO;SUBPREFEITURA;ADM REGIONAL;DRE;TIPO UNIDADE; ;CÓDIGO UNIDADE;NOME UNIDADE;ENDEREÇO;TELEFONE;CEP;BAIRRO;INICIO CONVENIO;FIM CONVENIO;TIPO ATENDIMENTO;INICIO DESATIVACAO;FIM DESATIVACAO;CODIGO EOL;INAUGURADO;INICIO TIPO ATENDIMENTO;FIM TIPO ATENDIMENTO
26;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12393;CEI CONV.  MARIA DE LOURDES FERRARINI;R. DRº. ALBERTO SEABRA, 1127;(11)30215361;5452001;VL. IDA;19/02/2015;18/08/2017;DIRETA;;;400307;08/03/2010;;
27;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12365;CEI CONV. JD. JAQUELINE;R. BERGOGNONE, 17;(11)37332881;5543030;JD. JAQUELINE;01/08/2014;31/01/2017;DIRETA;;;400633;15/01/2010;;
28;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13270;CEI CONV. NOITE ENCANTADA IV;RUA DOUTOR FLÁVIO AMÉRICO MAURANO, 990;(11)37435406;5656020;FAZENDA MORMBI;25/07/2015;25/01/2018;DIRETA;;;308448;02/12/2015;;
29;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13266;CEI CONV.SANTA ROSA II;RUA ANTONIO JULIO DOS SANTOS, 164;(11)37422338 (11)37423246;5661020;FAZENDO MORUMBI;25/07/2015;24/01/2018;DIRETA;;;308467;26/11/2015;;
30;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13256;CEI CONV. ALECRIM;RUA FRANCISCO LEITE ESQUERDO, 347;(11)37513689;5528040;JARDIM JAQUELINE;25/07/2015;24/01/2018;DIRETA;;;308451;19/11/2015;;
31;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13248;CEI CONV. NOITE ENCANTADA III;R. CABEDELO, 44;(11)35016477;5618000;VILA INAH;25/07/2015;24/01/2018;DIRETA;;;308447;11/11/2015;;
32;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13235;CEI CONV. LEON ALEXANDR;RUA EMBAIXADOR CAVALCANTE DE LACERDA, 285;(11)37216787;5591010;BUTATÃ/BONFIGLIOLI;17/07/2015;16/01/2018;DIRETA;;;308347;28/10/2015;;
33;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13233;CEI CONV. ALEGRIA DE APRENDER;RUA BALTAZAR SAMPER, 205;(11)25895528;5571040;PARQUE IPÊ;25/07/2015;24/01/2018;DIRETA;;;308408;27/10/2015;;
34;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13199;CEI CONV. PRIMEIRO LÁPIS;RUA PROFESSOR TETÔNIO MONTEIRO DE BARROS FILHO, 313;(11)28934749;5360030;VILA BUTATÃ;17/07/2015;16/01/2018;DIRETA;;;308380;13/10/2015;;
35;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13129;CEI CONV. NOITE ENCANTADA I;RUA GRAUÇÁ, 409;(11)37429512 (11)35016477;5626020;VILA SÔNIA;25/05/2015;24/11/2017;DIRETA;;;308302;12/08/2015;;
36;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13123;CEI CONV. SANTA RITA DE CASSIA;RUA AMARANTE DO MARANHÃO, 30;;5387030;VILA DALVA;25/05/2015;24/11/2017;DIRETA;;;308298;29/07/2015;;
37;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12364;CEI CONV. JD. ARPOADOR;AV. GAL. ASDRÚBAL DA CUNHA, 1299;(11)37880736;5565000;JD. ARPOADOR;03/06/2012;02/06/2017;DIRETA;;;400639;15/01/2010;;
38;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12231;CEI CONV. MÃE DE DEUS;R. ENG. ARTHUR DE MIRANDA, 236;(11)37519041;5528010;JD. JUSSARA;27/05/2014;26/05/2017;DIRETA;;;307101;22/06/2009;;
39;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;11764;CEI CONV. IPÊ;AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5985;(11)37826709;5564200;JD. EDUCANDÁRIO;03/04/2013;25/01/2018;DIRETA;;;306910;01/07/2008;;
40;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;11743;CEI CONV. SÃO CESÁRIO;AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5985;(11)37842618;5564200;JD. EDUCANDÁRIO;03/04/2013;25/01/2018;DIRETA;;;306924;24/06/2008;;
41;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;11678;CEI CONV. PAU - BRASIL;AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5985;(11)37844521;5564200;JD. EDUCANDÁRIO;01/01/2013;31/12/2017;DIRETA;;;306892;16/04/2008;;
42;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;11659;CEI CONV. JOÃO DE BARRO;AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5985;(11)37856336;5564200;JD. ESMERALDA;01/01/2013;31/12/2017;DIRETA;;;306897;03/04/2008;;
43;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;11651;CEI CONV. SANTA ROSA III;AV.  CIRCULAR, 303;(11)37832159;5548025;JD DAS ESMERALDAS;10/12/2015;20/01/2019;DIRETA;;;400665;25/03/2008;;
44;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7726;CEI CONV. LAR N. SRA. DOS POBRES;AV. DR. VITAL BRASIL, 1285;(11)37269791 (11)37230522;5503001;BUTANTÃ;01/01/2013;31/12/2017;DIRETA;;;306200;23/03/1999;;
45;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13433;CEI CONV. SANTA TEREZINHA;RUA DR. JOÃO GUIMARÃES, 644;(11)47712641 (11)47863051;5741190;JD. TABOÃO;17/05/2016;16/11/2018;DIRETA;;;308662;25/07/2016;;
46;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13432;CEI CONV. PEQUENOS DO BUTANTÃ;SANTIAGO FERRER, 48/54;(11)947364502;5571140;PARQUE IPE;31/05/2016;30/11/2018;DIRETA;;;308669;22/07/2016;;
47;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13430;CEI CONV. NOITE ENCANTADA V;RUA ERNEST RENAN, 391;(11)960737300;5659020;PARAISÓPOLIS;31/05/2016;30/11/2018;DIRETA;;;308666;22/07/2016;;
48;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13386;CEI CONV. SABER VIVER 3;RUA DAVID D'ANGERS, 101;(11)39262702 (11)65262702;5368160;JD. ESMERALDA;01/07/2016;31/12/2018;DIRETA;;;308556;20/04/2016;;
49;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13384;CEI CONV. CHÁCARA DO JOCKEY;AVENIDA PIRAJUSSARA, 4.483;(11)36214338;5534000;JARDIM JUSSARA;22/12/2015;21/06/2018;DIRETA;;;400806;18/04/2016;;
50;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13376;CEI CONV. SÃO BENEDITO;RUA LÍCIO MARCONDES DO AMARAL, S/N;(11)37424090;5616100;VILA PROGREDIOR;25/07/2015;24/01/2018;DIRETA;;;400808;04/04/2016;;
51;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13315;CEI CONV. PAIS E FILHOS;RUA: JACINTO GONÇALVES, 256;(11)37812076;556824;JD SÃO JORGE;30/10/2015;29/04/2018;DIRETA;;;308542;02/02/2016;;
52;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13309;CEI CONV. NOITE ENCANTADA II;RUA DONA VITU GIORGI, 40;(11)37428664;5658070;JARDIM LEONOR;25/07/2015;24/01/2018;DIRETA;;;308446;29/01/2016;;
53;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13308;CEI CONV. NOITE ENCANTADA VI;RUA: KANSAS, 150;;4558005;BROOKLIN;30/10/2015;29/04/2018;DIRETA;;;308493;29/01/2016;;
54;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13459;CEI CONV. VOVÓ ANA;R. JOÃO LUIS MATEUS, 34;(11)37149554;5379030;RIO PEQUENO;17/05/2016;16/11/2018;DIRETA;;;308665;15/09/2016;;
55;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13441;CEI CONV. FAZENDO ARTE;R. JOAQUIM GALVÃO, 544;;5627010;VILA SONIA;31/05/2016;30/11/2018;DIRETA;;;308673;15/08/2016;;
56;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13439;CEI CONV. PRIMEIROS CAMINHOS;R. MAJOR WALTER CARLSON, 534;(11)37815113;5567050;JD. ARPOADOR;31/05/2016;30/11/2018;DIRETA;;;308672;12/08/2016;;
57;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7737;CEI CONV. RECANTO DA ALEGRIA V;AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5535;(11)37822129;5564100;JD. ESMERALDA;18/07/2016;17/01/2019;DIRETA;;;306206;23/03/1999;;
58;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7735;CEI CONV. LAR PAULO DE TARSO;AV. RIO PEQUENO, 1235;(11)37689090;5379000;RIO PEQUENO;01/01/2013;31/12/2017;DIRETA;;;306201;23/03/1999;;
59;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7729;CEI CONV. SANTO AGOSTINHO- ASA;R. CLEMENTINE BRENNE, 412;(11)23864067;5659000;PARAISÓPOLIS;01/01/2013;31/12/2017;DIRETA;;;306213;23/03/1999;;
60;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7724;CEI CONV. D. JOSÉ GASPAR;R. AUREA BATISTA DOS SANTOS, 703;(11)37427625;5623000;VL. MORSE;01/01/2013;31/12/2017;DIRETA;;;306193;23/03/1999;;
61;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7721;CEI CONV. PRIMEIROS PASSOS;AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5985;(11)37818367;5564200;JD. ESMERALDA;01/01/2013;31/12/2017;DIRETA;;;306208;23/03/1999;;
62;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7720;CEI CONV. ASSOC. DE CRECHES MARIA DE NAZARÉ;AV. CORIFEU DE AZEVEDO MARQUES, 2530;(11)37357462;5340000;BUTANTA;01/01/2013;31/12/2017;DIRETA;;;306202;23/03/1999;;
63;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7718;CEI CONV. SINHAZINHA MEIRELLES;AV. JOSÉ JOAQUIM SEABRA, 1245;(11)37652731;5364000;RIO PEQUENO;01/01/2013;31/12/2017;DIRETA;;;306186;23/03/1999;;
64;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7377;CEI MUN. ROBERTO ARANTES LANHOSO - (MIST);R. SARAH NEWTON, 146;(11)37825224 (11)37852077;5583030;JD. BOA VISTA;;;MISTA;;;400221;23/03/1999;03/01/2012;
65;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7375;CEI MUN. VER. BENEDICTO ROCHA - (MIST);R. DÊNIS CHAUDET, 150;(11)37511867 (11)37510258;5528220;JD. DRACENA;;;MISTA;;;400018;23/03/1999;03/01/2012;
66;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;12047;CEU CEI MUN. UIRAPURU - (MIST);R. FREI CLAUDIO D'ALBERVILLE, SN;(11)37831926;5569010;JARDIM PAULO VI;;;MISTA;;;400692;03/02/2009;03/01/2012;
67;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;9867;CEU CEI MUN. BUTANTÃ - (MIST);AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 1870;(11)37324512;5588001;BUTANTÃ;;;MISTA;;;400514;02/09/2003;03/01/2012;
68;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;9838;CEI MUN. RIO PEQUENO II - (MIST);AV. BENEDITO DE LIMA, 405;(11)37143019;5376020;VL. ANTONIO;;;MISTA;;;400302;11/08/2003;03/01/2012;
69;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;9833;CEI MUN. JD. DAS VERTENTES - (MIST);R. JOÃO CORREA DA SILVA, 53;(11)37460084;5541200;VL. SONIA;;;MISTA;;;400298;04/07/2003;03/01/2012;
70;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7378;CEI MUN. SALVADOR LO TURCO - (MIST);R. EUSÉBIO DE PAULA MARCONDES, 60;(11)37823791 (11)37830633;5398020;JD. D'ABRIL;;;MISTA;;;400224;14/12/1999;03/01/2012;
71;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;9536;CEI MUN. CIDADE DE GENEBRA - (MIST);R. CACHOEIRA PORAQUÊ, 100;(11)37811290;5574450;CHB. RAPOSO TAVARES;;;MISTA;;;400274;27/12/2001;03/01/2012;
72;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7373;CEI MUN. PROFA. YVONE LEMOS DE ALMEIDA FRAGA - (MIST);R. NEY GONZAGA DE LACERDA, 17;(11)37356868;5368040;VL. ALBA;;;MISTA;;;400268;23/03/1999;03/01/2012;
73;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;8485;CEI MUN. CONJ. HAB. RAPOSO TAVARES - (MIST);R. CACHOEIRA PORAQUE, 560;(11)37814606;5574450;CJ. PRO MORAR RAPOSO;;;MISTA;;;400034;13/02/2001;03/01/2012;
74;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7380;CEI MUN. JD. YVONNE MALUHY JOSEPH SABGA - (MIST);R. ROSÁRIA ANA BARBOSA, 21;(11)37815817 (11)37826624;5373000;JD. ESTHER;;;MISTA;;;400269;23/03/1999;03/01/2012;
75;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7382;CEI MUN. DR. ANTONIO JOÃO ABDALLA - (MIST);R. ANGELO APARECIDO DOS SANTOS DIAS, 257;(11)37846848 (11)37820844;5568090;JD. SÃO JORGE;;;MISTA;;;400010;23/03/1999;03/01/2012;
76;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7381;CEI MUN. SÃO JORGE ARPOADOR - (MIST);R. EUDORO LINCOLN BERLINCK, 114;(11)37820950;5565200;JD. ARPOADOR;;;MISTA;;;400228;23/03/1999;03/01/2012;
77;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7384;CEI MUN. VER. ALOYSIO DE MENEZES GREENHALGH - (MIST);R. DR. FRANCISCO PATI, 375;(11)37685894;5352090;VL. SÃO FRANCISCO;;;MISTA;;;400003;23/03/1999;03/01/2012;
78;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7389;CEI MUN. PROF. JOSÉ OZI - (MIST);R. BARTOLOMEU VENETO, 200;(11)37683587;5364030;VL. TIRADENTES;;;MISTA;;;400163;23/03/1999;03/01/2012;
